Chinese (Simpl.),Pinyin,English
吧,ba,(modal particle for suggestion or surmise)
白,bái,white; snowy; pure; bright
百,bǎi,hundred; numerous; all kinds of
帮助,bāngzhù,assistance; aid; to help; to assist
报纸,bàozhǐ,newspaper; newsprint
比,bǐ,to compare; than
便宜,piányi,cheap; inexpensive
别,bié,don't; do not
唱歌,chànggē,to sing a song
出,chū,to go out; to come out; to occur; to produce
穿,chuān,to wear; to put on; to dress; to bore through
船,chuán,boat; vessel; ship
次,cì,(measure word) time; occurrence
从,cóng,from; through; via; to follow
错,cuò,mistake; wrong; bad; interlocking
打篮球,dǎlánqiú,to play basketball
大家,dàjiā,everyone; influential family; great expert
但是,dànshì,but; however
到,dào,to reach; to arrive; to leave for; to go to
得,de,(complement particle after verb or adj); děi must
弟弟,dìdi,younger brother
第一,dìyī,first; number one; primary
懂,dǒng,to understand; to comprehend
房间,fángjiān,room
非常,fēicháng,very; really; unusual; extraordinary
服务员,fúwùyuán,waiter; waitress; attendant; customer service personnel
高,gāo,high; tall; above average; loud
告诉,gàosu,to tell; to inform
哥哥,gēge,older brother
给,gěi,to give; for; to
公共汽车,gōnggòngqìchē,bus
公斤,gōngjīn,kilogram (kg)
公司,gōngsī,company; firm; corporation
贵,guì,expensive; noble; precious; (honorific) your
还,hái,still; still in progress; still more; yet
孩子,háizi,child
好吃,hǎochī,tasty; delicious; to be fond of eating; to be gluttonous
号,hào,number; day of the month; size
黑,hēi,black; dark
红,hóng,red; popular; revolutionary; bonus
欢迎,huānyíng,to welcome; welcome
回答,huídá,to reply; to answer; reply; answer
机场,jīchǎng,airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship
鸡蛋,jīdàn,(chicken) egg; hen's egg
件,jiàn,item; component; classifier for events; things; clothes etc
教室,jiàoshì,classroom
介绍,jièshào,to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction
姐姐,jiějie,older sister
近,jìn,near; close to; approximately
进,jìn,to go forward; to advance; to go in; to enter
就,jiù,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after
觉得,juéde,to think that ...; to feel that ...; to feel (uncomfortable etc)
咖啡,kāfēi,coffee (loanword)
开始,kāishǐ,to begin; beginning; to start; initial
考试,kǎoshì,to take an exam; exam
可能,kěnéng,might (happen); possible; probable; possibility
可以,kěyǐ,can; may; possible; able to
课,kè,subject; course; class; lesson
快,kuài,rapid; quick; speed; rate
快乐,kuàilè,happy; joyful
累,lèi,tired; weary
离,lí,to leave; to be away from; to part from
两,liǎng,two; both; some; a few
路,lù,road; journey; route; line (bus etc)
旅游,lǚyóu,trip; journey; tourism; travel
