Chinese (Simpl.),Pinyin,English
阿姨,āyí,maternal aunt; step-mother; childcare worker; nursemaid
矮,ǎi,low; short (in length)
矮小,ǎixiǎo,short and small; low and small; undersized
爱国,àiguó,to love one's country; patriotic
爱护,àihù,to cherish; to treasure; to take care of; to love and protect
安,ān,(bound form) calm; peaceful; to calm; to set at ease
安置,ānzhì,to find a place for; to help settle down; to arrange for; to get into bed
按时,ànshí,on time; before deadline; on schedule
暗,àn,dark; to turn dark; secret; hidden
暗示,ànshì,to hint; to suggest; hint; suggestion
巴士,bāshì,bus (loanword); motor coach
百货,bǎihuò,general merchandise
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum
摆动,bǎidòng,to sway; to swing; to move back and forth; to oscillate
摆脱,bǎituō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from)
败,bài,to defeat; to damage; to lose (to an opponent); to fail
办事,bànshì,to handle (affairs); to work
包裹,bāoguǒ,to wrap up; to bind up; bundle; parcel
包含,bāohán,to contain; to embody; to include
包括,bāokuò,to comprise; to include; to involve; to incorporate
薄,báo,thin; cold in manner; indifferent; weak
宝,bǎo,jewel; gem; treasure; precious
宝宝,bǎobao,darling; baby
宝贝,bǎobèi,treasured object; treasure; darling; baby
宝贵,bǎoguì,valuable; precious; to value; to treasure
宝石,bǎoshí,precious stone; gem
保密,bǎomì,to keep sth confidential; to maintain secrecy
保守,bǎoshǒu,conservative; to guard; to keep
抱,bào,to hold; to carry (in one's arms); to hug; to embrace
背景,bèijǐng,background; backdrop; context; (fig.) powerful backer
倍,bèi,(two three etc) -fold; times (multiplier); double; to increase or multiply
被迫,bèipò,to be compelled; to be forced
本科,běnkē,undergraduate course; undergraduate (attributive)
笨,bèn,stupid; foolish; silly; slow-witted
比分,bǐfēn,score
毕业,bìyè,graduation; to graduate; to finish school
毕业生,bìyèshēng,graduate
避,bì,to avoid; to shun; to flee; to escape
避免,bìmiǎn,to avert; to prevent; to avoid; to refrain from
编,biān,to weave; to plait; to organize; to group
辩论,biànlùn,debate; argument; to argue over
标志,biāozhì,sign; mark; symbol; logo
表情,biǎoqíng,(facial) expression; to express one's feelings
表扬,biǎoyáng,to praise; to commend
冰,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold
冰箱,bīngxiāng,icebox; freezer cabinet; refrigerator
冰雪,bīngxuě,ice and snow
兵,bīng,soldiers; a force; an army; weapons
不管,bùguǎn,not to be concerned; regardless of; no matter
不然,bùrán,not so; no; or else; otherwise
不要紧,bùyàojǐn,unimportant; not serious; it doesn't matter; never mind
不在乎,bùzàihu,not to care
布置,bùzhì,to put in order; to arrange; to decorate; to fix up
步行,bùxíng,to go on foot; to walk
擦,cā,to rub; to scratch; to towel; to wipe with a towel
材料,cáiliào,(raw) material; data; (fig.) person who has the potential to do the job
财产,cáichǎn,property; assets; estate
财富,cáifù,wealth; riches
采访,cǎifǎng,to interview; to gather news; to hunt for and collect; to cover
参考,cānkǎo,consultation; reference; to consult; to refer
参与,cānyù,to participate (in sth)
操场,cāochǎng,playground; sports field; drill ground
操作,cāozuò,to work; to operate; to manipulate
测,cè,to survey; to measure; to conjecture
测量,cèliáng,survey; to measure; to gauge; to determine
测试,cèshì,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software)
曾,céng,once; already; ever (in the past); former
茶叶,cháyè,tea; tea leaves
产品,chǎnpǐn,goods; merchandise; product
常识,chángshí,common sense; general knowledge
唱片,chàngpiàn,gramophone record; LP; music CD; musical album
抄,chāo,to make a copy; to plagiarize; to search and seize; to raid
抄写,chāoxiě,to copy; to transcribe
潮,cháo,tide; damp; moist; humid
潮流,cháoliú,tide; current; trend
潮湿,cháoshī,damp; moist
彻底,chèdǐ,thorough; thoroughly; complete
沉,chén,to submerge; to immerse; to sink; to keep down
沉默,chénmò,taciturn; uncommunicative; silent
沉重,chénzhòng,heavy; hard; serious; critical
称赞,chēngzàn,to praise; to acclaim; to commend; to compliment
成人,chéngrén,adult
承担,chéngdān,to undertake; to assume (responsibility etc)
承认,chéngrèn,to admit; to concede; to recognize; recognition (diplomatic artistic etc)
承受,chéngshòu,to bear; to support; to inherit
诚实,chéngshí,honest
诚信,chéngxìn,genuine; honest; in good faith; honesty
程序,chéngxù,procedures; sequence; order; computer program
吃惊,chījīng,to be startled; to be shocked; to be amazed
迟到,chídào,to arrive late
尺,chǐ,ruler; a Chinese foot (1/3 meter)
尺寸,chǐcun,size; dimensions; measurements (esp. of clothes); (coll.) propriety
尺子,chǐzi,ruler (measuring instrument)
充电,chōngdiàn,to recharge (a battery); (fig.) to recharge one's batteries (through leisure); to update one's skills and knowledge
充电器,chōngdiànqì,battery charger
充分,chōngfèn,ample; sufficient; adequate; full
冲,chōng,(of water) to dash against; to mix with water; to infuse; to rinse
虫子,chóngzi,insect; bug; worm
抽,chōu,to draw out; to pull out from in between; to remove part of the whole; (of certain plants) to sprout or bud
抽奖,chōujiǎng,to draw a prize; a lottery; a raffle
抽烟,chōuyān,to smoke (a cigarette tobacco)
出色,chūsè,remarkable; outstanding
出售,chūshòu,to sell; to offer for sale; to put on the market
出席,chūxí,to attend; to participate; present
处,chǔ,to handle; to deal with; to get along with; (chù) place
处于,chǔyú,to be in (some state position or condition)
穿上,chuānshang,to put on (clothes etc)
传统,chuántǒng,tradition; traditional; convention; conventional
窗户,chuānghu,window
窗台,chuāngtái,window sill; window ledge
窗子,chuāngzi,window
春季,chūnjì,springtime
纯,chún,pure; simple; unmixed; genuine
纯净水,chúnjìngshuǐ,purified water
词汇,cíhuì,vocabulary; list of words (e.g. for language teaching purposes); word
此,cǐ,this; these
此外,cǐwài,besides; in addition; moreover; furthermore
刺,cì,thorn; to prick; to stab; sting
刺激,cìjī,to provoke; to irritate; to upset; to stimulate
从此,cóngcǐ,from now on; since then; henceforth
粗,cū,coarse; rough; thick (for cylindrical objects); unfinished
粗心,cūxīn,careless; thoughtless
促进,cùjìn,to promote (an idea or cause); to advance; boost
促使,cùshǐ,to induce; to promote; to urge; to impel
促销,cùxiāo,to promote sales
措施,cuòshī,measure; step
答案,dáàn,answer; solution
打败,dǎbài,to defeat; to overpower; to beat; to be defeated
打雷,dǎléi,to rumble with thunder; clap of thunder
打扫,dǎsǎo,to clean; to sweep
打折,dǎzhé,to give a discount
打针,dǎzhēn,to give or have an injection
大巴,dàbā,(coll.) large bus; coach; (abbr. for 大型巴士)
大多,dàduō,for the most part; many; most; the greater part
大方,dàfang,generous; tasteful; natural and at ease
大哥,dàgē,eldest brother; big brother (polite address for a man of about the same age as oneself); gang leader; boss
大规模,dàguīmó,large scale; extensive; wide scale; broad scale
大会,dàhuì,general assembly; general meeting; convention
大姐,dàjiě,big sister; elder sister; older sister (also polite term of address for a girl or woman slightly older than the speaker)
大楼,dàlóu,building (a relatively large multistory one)
大陆,dàlù,mainland; continent
大妈,dàmā,father's elder brother's wife; aunt (affectionate term for an elderly woman)
大型,dàxíng,large; large-scale
大爷,dàyé,arrogant idler; self-centered show-off; (coll.) father's older brother; uncle
大众,dàzhòng,the masses; the public; general public
代替,dàitì,to replace; to take the place of
待遇,dàiyù,treatment; pay; salary; status
袋,dài,pouch; bag; sack; pocket
戴,dài,to put on or wear (glasses hat gloves etc); to respect; to bear; to support
单,dān,bill; list; form; single
单纯,dānchún,simple; pure; unsophisticated; merely
单调,dāndiào,monotonous
单独,dāndú,alone; by oneself; on one's own
担保,dānbǎo,to guarantee; to vouch for
担任,dānrèn,to hold a governmental office or post; to assume office of; to take charge of; to serve as
担心,dānxīn,anxious; worried; uneasy; to worry
淡,dàn,insipid; diluted; weak; mild
导游,dǎoyóu,tour guide; guidebook; to conduct a tour
导致,dǎozhì,to lead to; to create; to cause; to bring about
倒闭,dǎobì,to go bankrupt; to close down
倒车,dǎochē,to change buses; trains etc; to reverse (a vehicle); to drive backwards
地面,dìmiàn,floor; ground; surface
地位,dìwèi,position; status; place
地下,dìxià,underground; subterranean; covert
地址,dìzhǐ,address
的确,díquè,really; indeed
得意,déyì,proud of oneself; pleased with oneself; complacent
灯光,dēngguāng,(stage) lighting; light
登,dēng,to scale (a height); to ascend; to mount; to publish or record
登记,dēngjì,to register (one's name)
登录,dēnglù,to register; to log in
登山,dēngshān,to climb a mountain; climbing; mountaineering
敌人,dírén,enemy
底,dǐ,bottom; base; background; end (of year/month)
典型,diǎnxíng,model; typical case; archetype; typical
点名,diǎnmíng,roll call; to mention sb by name; (to call or praise or criticize sb) by name
电灯,diàndēng,electric light
电动车,diàndòngchē,Electric vehicle
电梯,diàntī,elevator; escalator
电源,diànyuán,electric power source
调皮,tiáopí,naughty; mischievous; unruly
顶,dǐng,apex; crown of the head; top; roof
定,dìng,to set; to fix; to determine; to decide
冬季,dōngjì,winter
动画片,dònghuàpiàn,animated film
动摇,dòngyáo,to sway; to waver; to rock; to rattle
豆腐,dòufu,tofu; bean curd
独立,dúlì,independent; independence; to stand alone
独特,dútè,unique; distinctive
独自,dúzì,alone
堵,dǔ,to block up (a road pipe etc); to stop up (a hole); (fig.) (of a person) choked up with anxiety or stress; wall (literary)
堵车,dǔchē,traffic jam; (of traffic) to get congested
肚子,dùzi,belly; abdomen; stomach
度过,dùguò,to pass; to spend (time); to survive; to get through
锻炼,duànliàn,to toughen; to temper; to engage in physical exercise; to work out
对比,duìbǐ,to contrast; contrast; ratio
对付,duìfu,to handle; to deal with; to tackle; to get by with
对于,duìyú,regarding; as far as (sth) is concerned; with regard to
多次,duōcì,many times; repeatedly
多年,duōnián,many years; for many years; longstanding
多样,duōyàng,diverse; diversity; manifold
多种,duōzhǒng,many kinds of; multiple; diverse; multi-
恶心,ěxīn,nausea; to feel sick; disgust; nauseating
儿童,értóng,child
而,ér,and; as well as; and so; but (not)
而是,érshì,rather
耳机,ěrjī,headphones; earphones; telephone receiver
二手,èrshǒu,indirectly acquired; second-hand (information equipment etc); assistant
发挥,fāhuī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral)
发票,fāpiào,invoice; receipt or bill for purchase
发烧,fāshāo,to have a high temperature (from illness); to have a fever
法,fǎ,law; method; way (abbr. for France)
法官,fǎguān,judge (in court)
法律,fǎlǜ,law
法院,fǎyuàn,court of law; court
翻,fān,to turn over; to flip over; to overturn; to rummage through
翻译,fānyì,to translate; to interpret; translator; interpreter
烦,fán,to feel vexed; to bother; to trouble; superfluous and confusing
反,fǎn,contrary; in reverse; inside out or upside down; to reverse
反而,fǎnér,on the contrary; instead
反映,fǎnyìng,to mirror; to reflect; mirror image; reflection
方,fāng,square; power or involution (math.); upright; honest
方案,fāngàn,plan; program (for action etc); proposal; proposed bill
方针,fāngzhēn,policy; guidelines
放松,fàngsōng,to relax; to slacken; to loosen
非,fēi,not; non-; wrong
肥,féi,fat; fertile; loose-fitting or large; to fertilize
分布,fēnbù,to scatter; to distribute; to be distributed (over an area etc); (statistical geographic) distribution
分散,fēnsàn,to scatter; to disperse; to distribute
分手,fēnshǒu,to part company; to split up; to break up
分为,fēnwéi,to divide sth into (parts); to subdivide
分之,fēnzhī,(indicating a fraction)
纷纷,fēnfēn,one after another; in succession; one by one; continuously
奋斗,fèndòu,to strive; to struggle
风格,fēnggé,style
风景,fēngjǐng,scenery; landscape
风俗,fēngsú,social custom
封闭,fēngbì,to close; to seal off; to close down (an illegal venue); closed (i.e. isolated from outside input)
否则,fǒuzé,otherwise; if not; or (else)
符号,fúhào,symbol; mark; sign
符合,fúhé,in keeping with; in accordance with; tallying with; in line with
付出,fùchū,to pay; to expend; to invest (energy or time)
负担,fùdān,to bear (an expense a responsibility etc); burden
附近,fùjìn,nearby; neighboring; (in the) vicinity (of); neighborhood
复制,fùzhì,to duplicate; to make a copy of; to copy; to reproduce
夫妇,fūfù,a (married) couple; husband and wife
夫妻,fūqī,husband and wife; married couple
夫人,fūren,lady; madam; Mrs.
改善,gǎishàn,to make better; to improve
改正,gǎizhèng,to correct; to amend; to put right; correction
盖,gài,lid; top; cover; canopy
概括,gàikuò,to summarize; to generalize; briefly; in broad outline
感兴趣,gǎnxìngqù,to be interested
高潮,gāocháo,high tide; high water; upsurge; peak of activity
高价,gāojià,high price
高尚,gāoshàng,noble; lofty; refined; exquisite
高铁,gāotiě,high speed rail
格外,géwài,especially; particularly
隔,gé,to separate; to partition; to stand or lie between; at a distance from
隔开,gékāi,to separate
个别,gèbié,individually; one by one; just one or two; exceptional
个体,gètǐ,individual
各个,gègè,every; various; separately; one by one
根,gēn,root; basis; classifier for long slender objects; e.g. cigarettes; guitar strings; radical (chemistry)
根据,gēnjù,according to; based on; basis; foundation
工程,gōngchéng,engineering; an engineering project; project; undertaking
公元,gōngyuán,CE (Common Era); Christian Era; AD (Anno Domini)
供应,gōngyìng,to supply; to provide; to offer
共,gòng,common; general; to share; together
构成,gòuchéng,to constitute; to form; to compose; to make up
构造,gòuzào,structure; composition; tectonic (geology)
购买,gòumǎi,to purchase; to buy
购物,gòuwù,shopping
骨头,gǔtou,bone; moral character; bitterness
固定,gùdìng,to fix; to fasten; to set rigidly in place; fixed
瓜,guā,melon; gourd; squash
