Chinese (Simpl.),Pinyin,English
爱,ài,to love; to be fond of; to like; affection
八,bā,eight; 8
爸爸,bàba,(coll.) father; dad
杯子,bēizi,cup; glass
北京,Běijīng,Beijing; capital of the People's Republic of China
本,běn,(measure word for books); this
不,bù,no; not so; (bound form) not; un-
不客气,bùkèqi,you're welcome; don't mention it; impolite; rude
菜,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type
茶,chá,tea; tea plant
吃,chī,to eat; to consume; to eat at (a cafeteria etc); to eradicate
出租车,chūzūchē,taxi; (Tw) rental car
打电话,dǎdiànhuà,to make a telephone call
大,dà,big; large; great; older (than another person)
的,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression)
点,diǎn,point; dot; drop; speck
电脑,diànnǎo,computer
电视,diànshì,television; TV
电影,diànyǐng,movie; film
东西,dōngxi,thing; stuff
都,dōu,all; both; entirely; (used for emphasis) even
读,dú,to read; to study
对不起,duìbuqǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down
多,duō,many; much; too many; in excess
多少,duōshǎo,number; amount; somewhat; how much?
儿子,érzi,son
二,èr,two; 2; (Beijing dialect) stupid
饭馆,fànguǎn,restaurant
飞机,fēijī,airplane
分钟,fēnzhōng,minute
高兴,gāoxìng,happy; glad; willing (to do sth); in a cheerful mood
个,gè,(general measure word); individual
工作,gōngzuò,to work; (of a machine) to operate; job; work
狗,gǒu,dog
汉语,Hànyǔ,Chinese language
好,hǎo,good; appropriate; proper; all right!
喝,hē,to drink; to shout
和,hé,(joining two nouns) and; together with; with (Taiwan pr. [hàn]); (math.) sum
很,hěn,(adverb of degree); quite; very; awfully
后面,hòumian,the back; the rear; the last bit; behind
回,huí,to circle; to go back; to turn around; to answer
会,huì,can; to have the skill; to know how to; to be likely to
火车站,huǒchēzhàn,train station
几,jǐ,how many; several; a few
家,jiā,home; family
叫,jiào,to shout; to call; to order; to ask
今天,jīntiān,today; at the present; now
九,jiǔ,nine; 9
开,kāi,to open (transitive or intransitive); (of ships vehicles troops etc) to start; to turn on; to put in operation
看,kàn,to look; to watch; to read; to see
看见,kànjiàn,to see; to catch sight of
块,kuài,lump; chunk; piece; classifier for pieces of cloth; cake; soap etc
来,lái,to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker as in 回来); ever since (as in 自古以来)
老师,lǎoshī,teacher
了,le,(completed action marker); (modal particle indicating change of state situation now); (modal particle intensifying preceding clause); to finish
冷,lěng,cold
里,lǐ,lining; interior; inside; internal
零,líng,zero; nought; zero sign; fractional
六,liù,six; 6
妈妈,māma,mama; mommy; mother
吗,ma,(yes-no question particle)
买,mǎi,to buy; to purchase
猫,māo,cat; (dialect) to hide oneself; (coll.) modem
没,méi,(negative prefix for verbs) have not; not; drowned; to end
没关系,méiguānxi,it doesn't matter
米饭,mǐfàn,(cooked) rice
名字,míngzi,name (of a person or thing)
明天,míngtiān,tomorrow
哪,nǎ,how; which; (emphatic sentence-final particle used instead of 啊 after a word ending in 'n'); used in 吒
那,nà,that; those
呢,ne,particle indicating that a previously asked question is to be applied to the preceding word ('What about ...?' 'And ...?'); particle for inquiring about location ('Where is ...?'); particle signaling a pause; to emphasize the preceding words and allow the listener time to take them on board ('ok?' 'are you with me?'); (at the end of a declarative sentence) particle indicating continuation of a state or action
能,néng,can; to be able to; might possibly; ability
你,nǐ,you (informal as opposed to courteous 您); you (Note: In Taiwan 妳 is used to address females but in mainland China it is not commonly used. Instead 你 is used to address both males and females.)
年,nián,year; grain; harvest (old)
女儿,nǚér,daughter
朋友,péngyou,friend
漂亮,piàoliang,pretty; beautiful
苹果,píngguǒ,apple
七,qī,seven; 7
前面,qiánmiàn,ahead; in front; preceding; above
钱,qián,coin; money; unit of weight; one tenth of a tael 两
请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc)
去,qù,to go; to go to (a place); (of a time etc) last; just passed
热,rè,hot; heat
人,rén,person; people
认识,rènshi,to know; to recognize; to be familiar with; to get acquainted with sb
日,Rì,sun; day; date; day of the month
三,sān,three; 3
商店,shāngdiàn,store; shop
上,shàng,up; above; on; to go up
上午,shàngwǔ,morning
少,shǎo,few; less; to lack; to be missing
什么,shénme,what?; something; anything
十,shí,ten; 10
时候,shíhou,time; length of time; moment; period
是,shì,to be (followed by substantives only); correct; right; true
书,Shū,book; letter; document; to write
谁,shéi,who
水,shuǐ,water; river; liquid; beverage
水果,shuǐguǒ,fruit
睡觉,shuìjiào,to go to bed; to sleep
说话,shuōhuà,to speak; to say; to talk; to gossip
四,sì,four; 4
岁,suì,years old; classifier for years (of age); year; year (of crop harvests)
他,tā,he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object)
她,tā,she
太,tài,too; excessively; very
天气,tiānqì,weather
听,tīng,to listen; to hear
