Chinese (Simpl.),Pinyin,English
爱心,àixīn,compassion; kindness; care for others; love
安排,ānpái,to arrange; to plan; to set up; arrangements
安装,ānzhuāng,to install; to erect; to fix; to mount
按,àn,to press; to push; to leave aside or shelve; to control
按照,ànzhào,according to; in accordance with; in the light of; on the basis of
把,bǎ,to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar
把握,bǎwò,to grasp (also fig.); to seize; to hold; assurance
白菜,báicài,Chinese cabbage; pak choi
班级,bānjí,class (group of students); grade (in school)
搬,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately
搬家,bānjiā,to move house; to relocate; to remove (sth)
板,bǎn,board; plank; plate; shutter
办理,bànlǐ,to handle; to transact; to conduct
保,bǎo,to protect; to defend; to guarantee
保安,bǎoān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard
保持,bǎochí,to keep; to maintain; to hold; to preserve
保存,bǎocún,to conserve; to preserve; to keep; to save (a file etc) (computing)
保护,bǎohù,to protect; to defend; to safeguard; protection
保留,bǎoliú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth)
保险,bǎoxiǎn,insurance; to insure; safe; secure
保证,bǎozhèng,guarantee; to guarantee; to ensure; to safeguard
报,bào,to announce; to inform; report; newspaper
报到,bàodào,to report for duty; to check in; to register
报道,bàodào,to report (news); report
报告,bàogào,to inform; to report; to make known; report
北部,běibù,northern part
背后,bèihòu,behind; at the back; in the rear; behind sb's back
被,bèi,(passive marker) by; quilt
被子,bèizi,quilt
本来,běnlái,original; originally; at first; it goes without saying
本领,běnlǐng,skill; ability; capability
本事,běnshi,ability; skill
比较,bǐjiào,to compare; to contrast; comparatively; relatively
比例,bǐlì,proportion; scale
比赛,bǐsài,competition (sports etc); match; to compete
必然,bìrán,inevitable; certain; necessity
必要,bìyào,necessary; essential; indispensable; required
变化,biànhuà,(intransitive) to change; to vary; change; variation
变为,biànwéi,to change into
标题,biāotí,title; heading; headline; caption
标准,biāozhǔn,standard; norm; criterion; (adjective) standard
表达,biǎodá,to express; to convey
表格,biǎogé,form; table
表面,biǎomiàn,surface; face; outside; appearance
表明,biǎomíng,to make clear; to make known; to state clearly; to indicate
表现,biǎoxiàn,to show; to show off; to display; to manifest
表演,biǎoyǎn,play; show; performance; exhibition
并,bìng,and; furthermore; also; together with
并且,bìngqiě,and; besides; moreover; furthermore
播出,bōchū,to broadcast; to air (a TV program etc)
播放,bōfàng,to broadcast; to transmit (by radio or TV)
补,bǔ,to repair; to patch; to mend; to make up for
补充,bǔchōng,to replenish; to supplement; to complement; additional
不安,bùān,unpeaceful; unstable; uneasy; disturbed
不必,bùbì,need not; does not have to; not necessarily
不得不,bùdébù,have no choice or option but to; cannot but; have to; can't help it
不断,bùduàn,unceasing; uninterrupted; continuous; constant
不光,bùguāng,not the only one; not only
不仅,bùjǐn,not just; not limited to; (as a correlative conjunction) not only (... but also ...)
不论,bùlùn,whatever; no matter what (who how etc); regardless of; not to discuss
布,bù,cloth; to spread; to announce
步,bù,a step; a pace; walk; march
部,bù,ministry; department; section; part
部门,bùmén,department; branch; section; division
部长,bùzhǎng,head of a (government etc) department; section chief; section head; secretary
才能,cáinéng,talent; ability; capacity
采取,cǎiqǔ,to adopt or carry out (measures policies course of action); to take
采用,cǎiyòng,to adopt; to employ; to use
彩色,cǎisè,color; multicolored
曾经,céngjīng,once; already; former; previously
产生,chǎnshēng,to arise; to come into being; to come about; to give rise to
厂,chǎng,factory; mill; yard
场合,chǎnghé,situation; occasion; context; setting
场所,chǎngsuǒ,location; place
超级,chāojí,super-; ultra-; hyper-
朝,cháo,towards; to face; dynasty
吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise
吵架,chǎojià,to quarrel; to have a row; quarrel
衬衫,chènshān,shirt; blouse
衬衣,chènyī,shirt
称为,chēngwéi,to be called; to be known as; to call it '...'
成功,chénggōng,success; to succeed
成果,chéngguǒ,result; achievement; gain; profit
成就,chéngjiù,accomplishment; success; achievement; to achieve (a result)
成立,chénglì,to establish; to set up; to be tenable; to hold water
成熟,chéngshú,mature; ripe; to mature; to ripen
成员,chéngyuán,member
成长,chéngzhǎng,to mature; to grow; growth
城,chéng,city walls; city; town
城市,chéngshì,city; town
程度,chéngdù,degree; level; extent
持续,chíxù,to continue; to persist; to last; sustainable
充满,chōngmǎn,full of; brimming with; very full; permeated
初,chū,at first; (at the) beginning; first; junior
初步,chūbù,initial; preliminary; tentative
初级,chūjí,junior; primary
初一,chūyī,first day of lunar month; New Year's Day; first year in junior middle school
初中,chūzhōng,junior high school (abbr. for 初级中学)
除了,chúle,besides; apart from (... also...); in addition to; except (for)
处理,chǔlǐ,to handle; to deal with; to punish; to treat sth by a special process
传,chuán,to pass on; to spread; to transmit; to infect
传播,chuánbō,to disseminate; to propagate; to spread
传来,chuánlái,(of a sound) to come through; to be heard; (of news) to arrive
传说,chuánshuō,legend; folk tale; to repeat from mouth to mouth; they say that...
创新,chuàngxīn,to bring forth new ideas; to blaze new trails; innovation
创业,chuàngyè,to begin an undertaking; to start a major task; to initiate; to venture
创造,chuàngzào,to create; to bring about; to produce; to set (a record)
创作,chuàngzuò,to create; to produce; to write; creative work
从来,cónglái,always; at all times; never (if used in negative sentence)
从前,cóngqián,previously; formerly; once upon a time
从事,cóngshì,to go for; to engage in; to undertake; to deal with
村,cūn,village
存,cún,to exist; to deposit; to store; to keep
存在,cúnzài,to exist; to be; existence
错误,cuòwù,mistaken; false; wrong; error
达到,dádào,to reach; to achieve; to attain
打破,dǎpò,to break; to smash
打听,dǎting,to ask about; to make some inquiries; to ask around
大夫,dàifu,doctor; physician
大概,dàgài,roughly; probably; rough; approximate
大使馆,dàshǐguǎn,embassy
大约,dàyuē,approximately; probably
代,dài,to substitute; to act on behalf of others; to replace; generation
代表,dàibiǎo,representative; delegate; to represent; to stand for
代表团,dàibiǎotuán,delegation
带动,dàidòng,to spur; to provide impetus; to drive
带领,dàilǐng,to guide; to lead
单元,dānyuán,unit (forming an entity); element; (in a residential building) entrance or staircase
当初,dāngchū,at that time; originally
当地,dāngdì,local
当然,dāngrán,only natural; as it should be; certainly; of course
当中,dāngzhōng,among; in the middle; in the center
刀,dāo,knife; blade; single-edged sword; cutlass
导演,dǎoyǎn,to direct; director (film etc)
到达,dàodá,to reach; to arrive
到底,dàodǐ,finally; in the end; when all is said and done; after all
地区,dìqū,local; regional; district (not necessarily formal administrative unit); region
得分,défēn,to score
等待,děngdài,to wait; to wait for
底下,dǐxia,the location below sth; afterwards
电视剧,diànshìjù,TV series; TV drama
电视台,diànshìtái,television station
电台,diàntái,transmitter-receiver; broadcasting station; radio station
电子邮件,diànzǐyóujiàn,email
调,diào,to transfer; to move (troops or cadres); to investigate; to enquire into
调查,diàochá,investigation; inquiry; to investigate; to survey
调整,tiáozhěng,to adjust; adjustment; revision
订,dìng,to agree; to conclude; to draw up; to subscribe to (a newspaper etc)
定期,dìngqī,at set dates; at regular intervals; periodic; limited to a fixed period of time
东部,dōngbù,the east; eastern part
动力,dònglì,motive power; force; (fig.) motivation; impetus
动人,dòngrén,touching; moving
读者,dúzhě,reader
短处,duǎnchù,shortcoming; defect; fault; one's weak points
短裤,duǎnkù,short pants; shorts
短期,duǎnqī,short term; short-term
断,duàn,to break; to snap; to cut off; to give up or abstain from sth
队员,duìyuán,team member
对待,duìdài,to treat; treatment
对方,duìfāng,the other person; the other side; the other party
对手,duìshǒu,opponent; rival; competitor; (well-matched) adversary
对象,duìxiàng,target; object; partner; boyfriend
顿,dùn,classifier for meals; to pause
发表,fābiǎo,to issue; to publish
发出,fāchū,to issue (an order decree etc); to send out; to dispatch; to produce (a sound)
发达,fādá,well-developed; flourishing; to develop; to promote
发动,fādòng,to start; to launch; to unleash; to mobilize
发明,fāmíng,to invent; an invention
发生,fāshēng,to happen; to occur; to take place; to break out
发送,fāsòng,to transmit; to dispatch; to issue (an official document or credential)
发言,fāyán,to make a speech; statement; utterance
发展,fāzhǎn,development; growth; to develop; to grow
反对,fǎnduì,to oppose; to be against; to object to
反复,fǎnfù,repeatedly; over and over; to upend; unstable
反应,fǎnyìng,to react; to respond; reaction; response
反正,fǎnzhèng,anyway; in any case; to come over from the enemy's side
范围,fànwéi,range; scope; limit; extent
方式,fāngshì,way; manner; style; mode
防,fáng,to protect; to defend; to guard against; to prevent
防止,fángzhǐ,to prevent; to guard against; to take precautions
房东,fángdōng,landlord
房屋,fángwū,house; building
房租,fángzū,rent for a room or house
访问,fǎngwèn,to visit; to call on; to interview
放到,fàngdào,Put in
飞行,fēixíng,(of planes etc) to fly; flying; flight; aviation
费,fèi,to cost; to spend; fee; wasteful
费用,fèiyòng,cost; expenditure; expense
分别,fēnbié,to part; to leave each other; to distinguish; to tell apart
