Chinese (Simpl.),Pinyin,English
不耐烦,bùnàifán,impatient; to lose patience
不能不,bùnéngbù,have to; cannot but
不时,bùshí,from time to time; now and then; occasionally; frequently
不停,bùtíng,incessant
不幸,bùxìng,misfortune; adversity; unfortunate; sad
不许,bùxǔ,not to allow; must not; can't
不易,bùyì,not easy to do sth; difficult; unchanging
不止,bùzhǐ,incessantly; without end; more than; not limited to
不足,bùzú,insufficient; lacking; deficiency; not enough
部位,bùwèi,part (esp. of the body); region; position
猜,cāi,to guess
猜测,cāicè,to guess; to conjecture; to surmise
裁判,cáipàn,judgment; to referee; umpire; judge
采购,cǎigòu,to procure (for an enterprise etc); to purchase
彩票,cǎipiào,lottery ticket
餐馆,cānguǎn,restaurant
餐厅,cāntīng,dining hall; dining room; restaurant
餐饮,cānyǐn,food and beverage; catering; repast
草原,cǎoyuán,grassland; prairie
册,cè,book; booklet; classifier for books
层次,céngcì,layer; level; gradation; arrangement of ideas
叉,chā,fork; pitchfork; prong; pick
叉子,chāzi,fork
插,chā,to insert; stick in; pierce; to take part in
查询,cháxún,to check; to inquire; to consult (a document etc); inquiry
差别,chābié,difference; distinction; disparity
差点儿,chàdiǎnr,almost; nearly
差距,chājù,disparity; gap
差一点儿,chàyīdiǎnr,almost; nearly
拆,chāi,to tear open; to tear down; to tear apart; to open
拆除,chāichú,to tear down; to demolish; to dismantle; to remove
产业,chǎnyè,industry; estate; property; industrial
肠,cháng,intestines
尝,cháng,to taste; to try (food); to experience; (literary) ever
尝试,chángshì,to try; to attempt
厂长,chǎngzhǎng,factory director
场面,chǎngmiàn,scene; spectacle; occasion; situation
倡导,chàngdǎo,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)
超越,chāoyuè,to surpass; to exceed; to transcend
车主,chēzhǔ,vehicle owner
称号,chēnghào,name; term of address; title
成本,chéngběn,(manufacturing production etc) costs
成交,chéngjiāo,to complete a contract; to reach a deal
成效,chéngxiào,effect; result
成语,chéngyǔ,idiom; Chinese set expression (usu. four characters); proverb
承办,chéngbàn,to undertake; to accept a contract
城里,chénglǐ,In the city
乘,chéng,to ride; to mount; to make use of; to avail oneself of
乘车,chéngchē,to ride (in a car or carriage); to drive; to motor
乘客,chéngkè,passenger
乘坐,chéngzuò,to ride (in a vehicle)
吃力,chīlì,to entail strenuous effort; to toil at a task; strenuous; laborious
池子,chízi,pond; bathhouse pool; dance floor of a ballroom; (old) stalls (front rows in a theater)
迟,chí,late; delayed; slow
充足,chōngzú,adequate; sufficient; abundant
冲动,chōngdòng,to have an urge; to be impetuous; impulse; urge
冲突,chōngtū,conflict; to conflict; clash of opposing forces; collision (of interests)
愁,chóu,to worry about
丑,chǒu,ugly; clown
臭,chòu,stench; smelly; to smell (bad); repulsive
出版,chūbǎn,to publish
出差,chūchāi,to go on an official or business trip
出汗,chūhàn,to perspire; to sweat
出于,chūyú,due to; to stem from
初期,chūqī,initial stage; beginning period
除非,chúfēi,only if (... or otherwise ...); only when; only in the case that; unless
除夕,Chúxī,lunar New Year's Eve
厨房,chúfáng,kitchen
处罚,chǔfá,to penalize; to punish
处分,chǔfèn,to discipline sb; to punish; disciplinary action; to deal with (a matter)
处在,chǔzài,to be situated at; to find oneself at
传达,chuándá,to pass on; to convey; to relay; to transmit
传递,chuándì,to transmit; to pass on to sb else; (math.) transitive
传真,chuánzhēn,fax; facsimile
窗帘,chuānglián,window curtains
闯,chuǎng,to rush; to charge; to dash; to break through
创立,chuànglì,to establish; to set up; to found
辞典,cídiǎn,dictionary (variant of 词典)
辞职,cízhí,to resign
此后,cǐhòu,after this; afterwards; hereafter
此刻,cǐkè,this moment; now; at present
此时,cǐshí,now; this moment
聪明,cōngming,intelligent; clever; bright; smart
从而,cóngér,thus; thereby
从中,cóngzhōng,from within; therefrom
脆,cuì,brittle; fragile; crisp; crunchy
存款,cúnkuǎn,to deposit money (in a bank etc); bank savings; bank deposit
寸,cùn,a unit of length; inch; thumb
达成,dáchéng,to reach (an agreement); to accomplish
答,dá,to answer; to reply; to respond
答复,dáfù,to answer; to reply; Reply to: (in email header)
打扮,dǎban,to decorate; to dress; to make up; to adorn
打包,dǎbāo,to pack; to wrap; to put leftovers in a doggy bag
打击,dǎjī,to hit; to strike; to attack; to crack down on sth
打架,dǎjià,to fight; to scuffle; to come to blows
打扰,dǎrǎo,to disturb; to bother; to trouble
大胆,dàdǎn,brazen; audacious; outrageous; bold
大都,dàdōu,mostly; for the most part
大纲,dàgāng,synopsis; outline; program; leading principles
大伙儿,dàhuǒr,everybody; everyone
大奖赛,dàjiǎngsài,grand prix
大脑,dànǎo,brain; cerebrum
大事,dàshì,major event; important matter; big event
大厅,dàtīng,hall; lounge
大象,dàxiàng,elephant
大熊猫,dàxióngmāo,giant panda (Ailuropoda melanoleuca)
大于,dàyú,greater than; bigger than; more than
大致,dàzhì,more or less; roughly; approximately
呆,dāi,foolish; stupid; expressionless; blank
代价,dàijià,price; cost; consideration (in share dealing)
代理,dàilǐ,to act as an agent; to act on behalf of sb; proxy
带有,dàiyǒu,to have (as a feature or characteristic); to carry; to have an element of
待,dài,to wait; to treat; to deal with (dāi = to stay)
贷款,dàikuǎn,a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)
单一,dānyī,single; only; sole
胆,dǎn,gall bladder; courage; guts; gall
胆小,dǎnxiǎo,cowardice; timid
弹,dàn,bullet; shell; pellet (tán = to play/pluck)
蛋糕,dàngāo,cake
当场,dāngchǎng,at the scene; on the spot
当代,dāngdài,the present age; the contemporary era
当年,dāngnián,in those days; then; in those years; during that time
当前,dāngqián,the present time; to be faced with
当选,dāngxuǎn,to be elected; to be selected
挡,dǎng,to resist; to obstruct; to hinder; to keep off
到来,dàolái,to arrive; arrival; advent
倒是,dàoshi,contrary to what one might expect; actually; contrariwise; why don't you
道德,dàodé,virtue; morality; ethics
地带,dìdài,zone
地形,dìxíng,topography; terrain; landform
地震,dìzhèn,earthquake
得了,déle,all right!; that's enough!; (emphatically in rhetorical questions) possible
得以,déyǐ,able to; so that sb can; enabling; in order to
等候,děnghòu,to wait; to wait for
等级,děngjí,grade; rank; status
低于,dīyú,to be lower than
递,dì,to hand over; to pass on; to deliver; (bound form) progressively
递给,dìgěi,to hand it (i.e. the aforementioned item) to (sb)
典礼,diǎnlǐ,celebration; ceremony
点燃,diǎnrán,to ignite; to set on fire; aflame
电池,diànchí,battery
电饭锅,diànfànguō,electric rice cooker
电子版,diànzǐbǎn,electronic edition; digital version
调动,diàodòng,to transfer; to maneuver (troops etc); movement of personnel; to mobilize
调节,tiáojié,to adjust; to regulate; to harmonize; to reconcile (accountancy etc)
调解,tiáojiě,to mediate; to bring parties to an agreement
丢,diū,to lose; to put aside; to throw
动机,dòngjī,motive; motivation
动手,dòngshǒu,to set about (a task); to hit; to punch; to touch
动态,dòngtài,movement; motion; development; trend
动员,dòngyuán,to mobilize; mobilization
冻,dòng,to freeze; to feel very cold; aspic or jelly
洞,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers)
豆制品,dòuzhìpǐn,legume-based product; soybean product
毒,dú,poison; to poison; poisonous; malicious
堆,duī,to pile up; to heap up; a mass; pile
对立,duìlì,to oppose; to set sth against; to be antagonistic to; antithetical
对应,duìyìng,to correspond (to); to be equivalent to; to be a counterpart to
吨,dūn,ton (loanword)
躲,duǒ,to hide; to dodge; to avoid
朵,duǒ,classifier for flowers and clouds
儿女,érnǚ,children; sons and daughters; a young man and a young woman (in love)
耳朵,ěrduo,ear; handle (on a cup)
二维码,èrwéimǎ,two-dimensional barcode; QR code
发布,fābù,to release; to issue; to announce; to distribute
发觉,fājué,to become aware; to detect; to realize; to perceive
发射,fāshè,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle)
发行,fāxíng,to publish; to issue (stocks currency etc); to release; to distribute (a film)
罚,fá,to punish; to penalize
罚款,fákuǎn,to fine; penalty; fine (monetary)
法规,fǎguī,legislation; statute
法制,fǎzhì,legal system and institutions; made in France
繁荣,fánróng,prosperous; booming (economy)
返回,fǎnhuí,to return to; to come (or go) back
防治,fángzhì,to prevent and cure; prevention and cure
放大,fàngdà,to enlarge; to magnify
放弃,fàngqì,to renounce; to abandon; to give up
分成,fēnchéng,to divide (into); to split a bonus; to break into; tenths
分解,fēnjiě,to resolve; to decompose; to break down
分类,fēnlèi,to classify
分离,fēnlí,to separate
分析,fēnxī,to analyze; analysis
分享,fēnxiǎng,to share (let others have some of sth good)
丰收,fēngshōu,bumper harvest
风度,fēngdù,elegance (for men); elegant demeanor; grace; poise
风光,fēngguāng,scene; view; sight; landscape
疯,fēng,insane; mad; wild
疯狂,fēngkuáng,crazy; frenzied; wild
扶,fú,to support with the hand; to help sb up; to help
服从,fúcóng,to obey (an order); to comply; to defer
幅,fú,width; roll; classifier for textiles or pictures
幅度,fúdù,width; extent; range; scope
福利,fúlì,material benefit; benefit in kind; (social) welfare
辅助,fǔzhù,to assist; to aid; supplementary; auxiliary
负责人,fùzérén,person in charge
附件,fùjiàn,enclosure; attachment (email); appendix
改革,gǎigé,reform; to reform
感想,gǎnxiǎng,impressions; reflections; thoughts
干脆,gāncuì,candid; direct and to the point; simply; just
干扰,gānrǎo,to disturb; to interfere; perturbation; interference (physics)
干预,gānyù,to meddle; to intervene; intervention
钢笔,gāngbǐ,fountain pen
钢琴,gāngqín,piano
高大,gāodà,tall; lofty; towering
高度,gāodù,height; altitude; elevation; high degree
高跟鞋,gāogēnxié,high-heeled shoes
高温,gāowēn,high temperature
高于,gāoyú,greater than; to exceed
高原,gāoyuán,plateau
搞,gǎo,to do; to make; to go in for; to set up
搞好,gǎohǎo,to do well at; to do a good job
歌曲,gēqǔ,song
隔壁,gébì,next door; neighbor
个儿,gèr,size; height; stature
跟前,gēnqián,the front (of); (in) front; (in) sb's presence; just before (a date)
跟随,gēnsuí,to follow
更换,gēnghuàn,to replace (a worn-out tire etc); to change (one's address etc)
更新,gēngxīn,to replace the old with new; to renew; to renovate; to upgrade
工艺,gōngyì,arts and crafts; industrial arts
工艺品,gōngyìpǐn,handicraft article; handiwork
工作日,gōngzuòrì,workday; working day; weekday
公告,gōnggào,post; announcement
公认,gōngrèn,publicly known (to be); accepted (as)
公式,gōngshì,formula
公正,gōngzhèng,just; fair; equitable
共计,gòngjì,to sum up to; to total
共享,gòngxiǎng,to share; to enjoy together
沟,gōu,ditch; gutter; groove; gully
沟通,gōutōng,to join; to connect; to link up; to communicate
估计,gūjì,to estimate; to reckon; (coll.) to suppose
古老,gǔlǎo,ancient; old; age-old
鼓,gǔ,drum; to drum; to strike; to rouse
鼓励,gǔlì,to encourage
鼓掌,gǔzhǎng,to applaud; to clap
顾问,gùwèn,adviser; consultant
关怀,guānhuái,care; solicitude; to show care for; concerned about
关键,guānjiàn,crucial point; crux; key; crucial
冠军,guànjūn,champion
光荣,guāngróng,honor and glory; glorious
光线,guāngxiàn,light ray; light; illumination; lighting (for a photograph)
广,guǎng,wide; broad; extensive
广泛,guǎngfàn,extensive; wide range
规划,guīhuà,to draw up a plan; to map out a program; a plan; a program
鬼,guǐ,disembodied spirit; ghost; devil; (suffix) person with a certain vice or addiction etc
柜子,guìzi,cupboard; cabinet
滚,gǔn,to boil; to roll; to take a hike; Get lost!
锅,guō,pot; pan; wok; cauldron
国籍,guójí,nationality
国民,guómín,nationals; citizens; people of a nation
过度,guòdù,excessive; over-; excess; going too far
过敏,guòmǐn,oversensitive; allergic; allergy
过于,guòyú,too much; excessively
咳,ké,to cough
害,hài,to do harm to; to cause trouble to; harm; evil
汗,hàn,sweat; perspiration
好运,hǎoyùn,good luck
号召,hàozhào,to call; to appeal
合并,hébìng,to merge; to annex
合成,héchéng,to compose; to constitute; compound; synthesis
盒,hé,small box; case
盒饭,héfàn,meal in a partitioned box
盒子,hézi,box; case
贺卡,hèkǎ,greeting card; congratulation card
恨,hèn,to hate; to regret
猴,hóu,monkey
后悔,hòuhuǐ,to regret; to feel remorse
胡同儿,hútòngr5,Alley
胡子,húzi,beard; mustache or whiskers; facial hair; (coll.) bandit
虎,hǔ,tiger
华语,Huáyǔ,Chinese language
滑,huá,to slip; to slide; slippery; smooth
化石,huàshí,fossil
划分,huàfēn,to divide up; to partition; to differentiate
画面,huàmiàn,scene; tableau; picture; image
环节,huánjié,link (in a process); stage; element
慌,huāng,to get panicky; to lose one's head; (coll.) (after 得) unbearably; terribly
慌忙,huāngmáng,in a great rush; in a flurry
灰色,huīsè,gray; ash gray; grizzly; pessimistic
恢复,huīfù,to reinstate; to resume; to restore; to recover
回报,huíbào,(in) return; reciprocation; payback; retaliation
回避,huíbì,to shun; to avoid (sb); to skirt; to evade (an issue)
回顾,huígù,to look back; to review
回收,huíshōu,to recycle; to reclaim; to retrieve; to recover
回头,huítóu,to turn round; to turn one's head; later; by and by
回信,huíxìn,to reply; to write back; letter written in reply
回忆,huíyì,to recall; memories
汇款,huìkuǎn,to remit money; remittance
会谈,huìtán,talks; discussions
活力,huólì,energy; vitality; vigor; vital force
活泼,huópo,lively; vivacious; brisk; active
火柴,huǒchái,match (for lighting fire)
火腿,huǒtuǐ,ham
火灾,huǒzāi,serious fire (in a city or a forest etc)
或是,huòshì,or; either one or the other
机器人,jīqìrén,robot; android
机制,jīzhì,mechanism; machine-processed; machine-made
肌肉,jīròu,muscle; flesh
基地,jīdì,base (of operations); industrial or military base; al-Qaeda
基金,jījīn,fund
即使,jíshǐ,even if; even though
集团,jítuán,group; bloc; corporation; conglomerate
挤,jǐ,to crowd in; to cram in; to force others aside; to press
记忆,jìyì,to remember; to recall; memory
技能,jìnéng,technical ability; skill
继承,jìchéng,to inherit; to succeed to (the throne etc); to carry on (a tradition etc)
加热,jiārè,to heat
加上,jiāshàng,plus; to put in; to add; to add on
加速,jiāsù,to speed up; to expedite
加以,jiāyǐ,to apply (an action to sth); in addition; moreover
夹,jiā,to press from either side; to place in between; to sandwich; to carry sth under armpit
甲,jiǎ,first; grade A; (party) A; fingernail
价,jià,price; value; (chemistry) valence; great
驾驶,jiàshǐ,to pilot (ship airplane etc); to drive
驾照,jiàzhào,driver's license
坚定,jiāndìng,firm; steady; staunch; resolute
间接,jiànjiē,indirect
肩,jiān,shoulder; to shoulder (responsibilities etc)
艰苦,jiānkǔ,difficult; hard; arduous
艰难,jiānnán,difficult; hard; challenging
减轻,jiǎnqīng,to lighten; to ease; to alleviate
剪,jiǎn,scissors; shears; clippers; to cut with scissors
剪刀,jiǎndāo,scissors
剪子,jiǎnzi,clippers; scissors; shears
检验,jiǎnyàn,to inspect; to examine; to test
建造,jiànzào,to construct; to build
建筑,jiànzhù,to construct; building
健全,jiànquán,robust; sound
键,jiàn,key (on a keyboard or piano); button; chemical bond
键盘,jiànpán,keyboard
将,jiāng,will; shall; to use; to take
将要,jiāngyào,will; shall; to be going to
奖励,jiǎnglì,to reward; reward (as encouragement)
交代,jiāodài,to transfer (duties to sb else); to give instructions; to tell (sb to do sth); to explain
郊区,jiāoqū,suburban district; outskirts; suburbs
胶带,jiāodài,adhesive tape; magnetic tape
胶水,jiāoshuǐ,glue
脚步,jiǎobù,footstep; step
接触,jiēchù,to touch; to contact; access; in touch with
接连,jiēlián,on end; in a row; in succession
解除,jiěchú,to remove; to sack; to get rid of; to relieve (sb of their duties)
解放,jiěfàng,to liberate; liberation; to emancipate
戒,jiè,to guard against; to exhort; to admonish or warn; to give up or stop doing sth
届,jiè,classifier for sessions/terms; (of time) to fall due
今日,jīnrì,today
尽管,jǐnguǎn,despite; although; even though; in spite of
尽可能,jǐnkěnéng,as far as possible; to do one's utmost
紧紧,jǐnjǐn,closely; tightly
近来,jìnlái,recently; lately
进化,jìnhuà,evolution
经费,jīngfèi,funds; expenditure
景象,jǐngxiàng,scene; sight (to behold)
警告,jǐnggào,to warn; to admonish
竞赛,jìngsài,to compete; to race; contest; competition
竞争,jìngzhēng,to compete; competition
酒鬼,jiǔguǐ,drunkard
救灾,jiùzāi,to relieve disaster; to help disaster victims
居然,jūrán,unexpectedly; to one's surprise; go so far as to
局面,júmiàn,aspect; phase; situation
局长,júzhǎng,bureau chief
举动,jǔdòng,act; action; activity; move
拒绝,jùjué,to refuse; to decline; to reject
俱乐部,jùlèbù,club (the organisation or its premises) (loanword)
剧本,jùběn,script for play; opera; movie etc; screenplay; scenario
决不,juébù,not at all; simply (can) not
绝望,juéwàng,to despair; to give up all hope; desperate; desperation
军人,jūnrén,serviceman; soldier; military personnel
开幕,kāimù,to open (a conference); to inaugurate
开幕式,kāimùshì,opening ceremony
看成,kànchéng,to regard as
看出,kànchū,to make out; to see
看待,kàndài,to look upon; to regard
考核,kǎohé,to examine; to check up on; to assess; to review
烤肉,kǎoròu,barbecue (lit. roast meat)
烤鸭,kǎoyā,roast duck
靠近,kàojìn,to be close to; to approach; to draw near
颗,kē,classifier for small spheres; pearls; corn grains; teeth; hearts; satellites etc
可,kě,(prefix) can; may; able to; -able
可怜,kělián,pitiful; pathetic; to have pity on
可惜,kěxī,it is a pity; what a pity; unfortunately
渴望,kěwàng,to thirst for; to long for
客户,kèhù,client; customer
客气,kèqi,polite; courteous; formal; modest
客厅,kètīng,drawing room (room for arriving guests); living room
课题,kètí,task; problem; issue
肯定,kěndìng,to be certain; to be positive; assuredly; definitely
空中,kōngzhōng,in the sky; in the air
控制,kòngzhì,to control
口号,kǒuhào,slogan; catchphrase
库,kù,warehouse; storehouse; (file) library
快活,kuàihuo,happy; cheerful
宽度,kuāndù,width
狂,kuáng,mad; wild; violent
亏,kuī,deficiency; deficit; luckily; it's lucky that...
困扰,kùnrǎo,to perplex; to disturb; to cause complications
来信,láixìn,incoming letter; to send us a letter
烂,làn,soft; mushy; well-cooked and soft; to rot
朗读,lǎngdú,to read aloud
浪漫,làngmàn,romantic
劳动,láodòng,work; toil; physical labor
梨,lí,pear
礼,lǐ,gift; ceremony; courtesy
礼拜,lǐbài,to attend a religious service; (coll.) week; (coll.) Sunday
礼貌,lǐmào,courtesy; politeness; manners; courteous
厉害,lìhai,amazing; fierce; severe
立,lì,to stand; to set up; to establish; to lay down
立场,lìchǎng,position; standpoint
利润,lìrùn,profits
例外,lìwài,exception; to be an exception
连接,liánjiē,to link; to join; to connect
联络,liánluò,to get in touch with; to contact; to stay in contact (with); liaison
联想,liánxiǎng,to associate (ideas); mental association
脸盆,liǎnpén,washbowl; basin for washing hands and face
脸色,liǎnsè,complexion; look
恋爱,liànài,(romantic) love; in love; to have an affair
两岸,liǎngàn,bilateral; both shores; both sides; both coasts
邻居,línjū,neighbor; next door
铃,líng,(small) bell
铃声,língshēng,ring; ringtone; bell stroke; tintinnabulation
领带,lǐngdài,necktie
令,lìng,to order; to make (sb do sth); command
流动,liúdòng,to flow; to circulate; to go from place to place; to be mobile
流通,liútōng,to circulate; to distribute; circulation; distribution
漏,lòu,to leak; to divulge; to leave out by mistake; waterclock or hourglass (old)
漏洞,lòudòng,leak; hole; gap; loophole
率领,shuàilǐng,to lead; to command; to head
逻辑,luóji,logic (loanword)
落实,luòshí,practical; workable; to implement; to carry out
码头,mǎtóu,dock; pier; wharf
骂,mà,to scold; to abuse; to curse
买卖,mǎimài,buying and selling; business; business transactions
漫画,mànhuà,caricature; cartoon; Japanese manga
漫长,màncháng,very long; endless
毛笔,máobǐ,writing brush
矛盾,máodùn,contradiction; conflicting views; contradictory
冒,mào,to emit; to give off; to send out (or up forth); to brave
贸易,màoyì,(commercial) trade
煤,méi,coal
煤气,méiqì,coal gas; gas (fuel)
门诊,ménzhěn,outpatient service
迷人,mírén,fascinating; enchanting; charming; tempting
迷信,míxìn,superstition; to have a superstitious belief (in sth)
面貌,miànmào,face; features; appearance; look
面子,miànzi,outer surface; the outside of sth; social prestige; face
秒,miǎo,second (unit of time); arc second (angular measurement unit); (coll.) instantly
敏感,mǐngǎn,sensitive; susceptible
明亮,míngliàng,bright; shining; glittering; to become clear
明明,míngmíng,obviously; plainly; undoubtedly; definitely
命令,mìnglìng,order; command
模范,mófàn,model; fine example
模仿,mófǎng,to imitate; to copy; to emulate; to mimic
模糊,móhu,vague; indistinct; fuzzy
模式,móshì,mode; method; pattern
模样,múyàng,look; style; appearance; approximation
摩擦,mócā,friction; rubbing; chafing; fig. disharmony
摩托,mótuō,motor (loanword); motorbike
目光,mùguāng,gaze; (fig.) attention; expression in one's eyes; look
耐心,nàixīn,to be patient; patience
男性,nánxìng,the male sex; a male
南北,nánběi,north and south; north to south
南极,nánjí,south pole
难得,nándé,seldom; rare; hard to come by
难以,nányǐ,hard to (predict imagine etc)
脑子,nǎozi,brains; mind
内在,nèizài,inner; internal; intrinsic; innate
能量,néngliàng,energy; capabilities
年度,niándù,year (e.g. school year fiscal year); annual
年龄,niánlíng,(a person's) age
年前,niánqián,by the end of the year; at the end of the year; shortly before New Year
牛仔裤,niúzǎikù,jeans
农产品,nóngchǎnpǐn,agricultural produce
女性,nǚxìng,woman; the female sex
暖,nuǎn,warm; to warm
偶尔,ǒuěr,occasionally; once in a while; sometimes
偶然,ǒurán,incidentally; occasional; occasionally; by chance
偶像,ǒuxiàng,idol
拍摄,pāishè,to take (a picture); to shoot (a film)
排除,páichú,to eliminate; to remove; to exclude; to rule out
旁,páng,one side; other; different; lateral component of a Chinese character (such as 刂 亻 etc)
陪,péi,to accompany; to keep sb company; to assist
赔,péi,to compensate for loss; to indemnify; to suffer a financial loss
赔偿,péicháng,to compensate
配备,pèibèi,to allocate; to provide; to outfit with
配套,pèitào,to form a complete set; compatible; matching; complementary
喷,pēn,to puff; to spout; to spray; to spurt
盆,pén,basin; flower pot; unit of volume equal to 12 斗 and 8 升; approx 128 liters
披,pī,to drape over one's shoulders; to open; to unroll; to split open
皮肤,pífū,skin
皮鞋,píxié,leather shoes
脾气,píqi,character; temperament; disposition; bad temper
匹,pǐ,classifier for horses and bolts of cloth
骗,piàn,to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over
骗子,piànzi,swindler; a cheat
拼,pīn,to piece together; to join together; to stake all; adventurous
频道,píndào,frequency; (television) channel
频繁,pínfán,frequently; often
品,pǐn,(bound form) article; commodity; product; goods
品种,pǐnzhǒng,breed; variety
平坦,píngtǎn,level; even; smooth; flat
平原,píngyuán,field; plain
评估,pínggū,to evaluate; to assess; assessment; evaluation
评论,pínglùn,to comment on; to discuss; comment; commentary
凭,píng,to lean against; to rely on; on the basis of; no matter (how what etc)
泼,pō,to splash; to spill; rough and coarse; brutish
葡萄,pútao,grape
葡萄酒,pútaojiǔ,(grape) wine
期望,qīwàng,to have expectations; to earnestly hope; expectation; hope
齐全,qíquán,complete; comprehensive
其,qí,his; her; its; their
启动,qǐdòng,to start (a machine); to launch; to activate
启发,qǐfā,to enlighten; to explain (a text etc); to stimulate (a mental attitude); enlightenment
启事,qǐshì,notice; announcement
起到,qǐdào,to have an effect; to play a role
起码,qǐmǎ,at the minimum; at the very least
气体,qìtǐ,gas (i.e. gaseous substance)
气象,qìxiàng,meteorological feature; meteorology; atmosphere; ambience
签,qiān,to sign; to sign one's name; label
签订,qiāndìng,to agree to and sign (a treaty etc)
签名,qiānmíng,to sign (one's name with a pen etc); to autograph; signature
签约,qiānyuē,to sign a contract or agreement
签证,qiānzhèng,visa; to issue a visa
签字,qiānzì,to sign (one's name); signature
前景,qiánjǐng,foreground; vista; (future) prospects; perspective
前提,qiántí,premise; precondition; prerequisite
欠,qiàn,to owe; to lack; (literary) to be deficient in; (bound form) yawn
枪,qiāng,gun; firearm; rifle; spear
强度,qiángdù,strength; intensity
强迫,qiǎngpò,to compel; to force
墙壁,qiángbì,wall
抢,qiǎng,to snatch; to grab; to rob; to fight over
抢救,qiǎngjiù,to rescue
悄悄,qiāoqiāo,quiet; making little or no noise; surreptitious; stealthy
敲,qiāo,to hit; to strike; to tap; to rap
敲门,qiāomén,to knock on a door
瞧,qiáo,to look at; to see; to see (a doctor); to visit
琴,qín,guqin 琴 (a type of zither); musical instrument in general
勤奋,qínfèn,hardworking; diligent
青,qīng,green; blue; youth
清晨,qīngchén,early morning
清理,qīnglǐ,to clear up; to tidy up; to dispose of
情节,qíngjié,circumstances; plot; storyline
情形,qíngxing,circumstances; situation
晴朗,qínglǎng,sunny and cloudless
区域,qūyù,area; region; district
全都,quándōu,all; without exception
全世界,quánshìjiè,worldwide; entire world
泉,quán,spring (small stream); mouth of a spring; coin (archaic)
劝,quàn,to advise; to urge; to try to persuade; to exhort
缺乏,quēfá,to lack; to be short of
确立,quèlì,to establish; to institute
群体,qúntǐ,community; colony
群众,qúnzhòng,mass; multitude; the masses
染,rǎn,to dye; to catch (a disease); to acquire (bad habits etc); to contaminate
绕,rào,to wind; to coil (thread); to rotate around; to spiral
热量,rèliàng,heat; quantity of heat; calorific value
热门,rèmén,popular; hot; in vogue
人间,rénjiān,the human world; the earth
人力,rénlì,manpower; labor power
人士,rénshì,person; figure; public figure
人物,rénwù,person; personage; figure (esp. sb of importance); character (in a play novel etc)
忍,rěn,to bear; to endure; to tolerate; to restrain oneself
忍不住,rěnbuzhù,cannot help; unable to bear
