Chinese (Simpl.),Pinyin,English
以上,yǐshàng,that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) That is all.
以外,yǐwài,apart from; other than; except for; external
以为,yǐwéi,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
以下,yǐxià,that level or lower; that amount or less; the following
椅子,yǐzi,chair
亿,yì,100 million
意见,yìjiàn,idea; opinion; suggestion; objection
意思,yìsi,idea; opinion; meaning; wish
因为,yīnwèi,because; owing to; on account of
阴,yīn,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang)
阴天,yīntiān,cloudy day; overcast sky
音节,yīnjié,syllable
音乐,yīnyuè,music
音乐会,yīnyuèhuì,concert
银行,yínháng,bank
银行卡,yínhángkǎ,bank card; ATM card
应该,yīnggāi,ought to; should; must
英文,Yīngwén,English (language)
英语,Yīngyǔ,English (language)
影片,yǐngpiàn,a copy of a film; film; motion picture; movie
影响,yǐngxiǎng,influence; effect; to influence; to affect (usually adversely)
永远,yǒngyuǎn,forever; eternal
油,yóu,oil; fat; grease; petroleum
游客,yóukè,traveler; tourist; (online gaming) guest player
有点儿,yǒudiǎnr,slightly; a little; somewhat
有空儿,yǒukòngr5,available
有人,yǒurén,someone; people; anyone; there is someone there
有一点儿,yǒuyīdiǎnr,a bit; a little
有意思,yǒuyìsi,interesting; meaningful; enjoyable; fun
又,yòu,(once) again; also; both... and...; and yet
友好,yǒuhǎo,friendly; amicable
鱼,yú,fish
语言,yǔyán,language
原来,yuánlái,original; former; originally; formerly
原因,yuányīn,cause; origin; root cause; reason
院,yuàn,courtyard; institution
院长,yuànzhǎng,the head of an institution whose name ends in 院; chair of a board; president of a university; department head
院子,yuànzi,courtyard; garden; yard; patio
愿意,yuànyì,to wish; to want; ready; willing (to do sth)
月份,yuèfèn,month
月亮,yuèliang,the moon
越,yuè,to exceed; to surpass; to climb over; the more... (越来越)
越来越,yuèláiyuè,more and more
云,yún,cloud
运动,yùndòng,to move; to exercise; sports; exercise
咱,zán,we (including the listener); I; me
咱们,zánmen,we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you
脏,zāng,dirty; filthy
早餐,zǎocān,breakfast
早晨,zǎochén,early morning
早就,zǎojiù,already at an earlier time
怎么办,zěnmebàn,what's to be done
怎么样,zěnmeyàng,how?; how about?; how was it?; how are things?
怎样,zěnyàng,how; what kind
占,zhàn,to occupy; to take up; to account for (a proportion)
站住,zhànzhù,to stand
长,cháng,length; long; forever; always
长大,zhǎngdà,to grow up
找出,zhǎochū,to find; to search out
照顾,zhàogu,to take care of; to show consideration; to attend to; to look after
照片,zhàopiàn,photograph; picture
照相,zhàoxiàng,to take a photograph
这么,zhème,so much; this much; how much?; this way
这时,zhèshí,at this time; at this moment
这时候,zhèshíhòu,At this moment
这样,zhèyàng,this kind of; so; this way; like this
真正,zhēnzhèng,genuine; real; true; really
正常,zhèngcháng,regular; normal; ordinary
正好,zhènghǎo,just (in time); just right; just enough; to happen to
正确,zhèngquè,correct; sound; right; proper
正是,zhèngshì,is precisely
直接,zhíjiē,direct (opposite: indirect 间接); immediate; straightforward
只,zhǐ,only; merely; just; but
只能,zhǐnéng,can only; obliged to do sth; to have no other choice
只要,zhǐyào,if only; so long as
纸,zhǐ,paper; classifier for documents; letter etc
中餐,zhōngcān,lunch; Chinese meal; Chinese food
中级,zhōngjí,middle level (in a hierarchy)
中年,zhōngnián,middle age
中小学,zhōngxiǎoxué,middle and elementary school
中心,zhōngxīn,center; heart; core
中医,zhōngyī,traditional Chinese medicine; TCM doctor
重点,chóngdiǎn,to recount (e.g. results of election); to re-evaluate; important point; main point
重复,chóngfù,to repeat; to duplicate
重视,zhòngshì,to attach importance to sth; to value
重新,chóngxīn,again; once more; re-
周,zhōu,week; circuit; all around; to circle
周末,zhōumò,weekend
周年,zhōunián,anniversary; annual
主人,zhǔrén,master; host; owner
主要,zhǔyào,main; principal; major; primary
住房,zhùfáng,housing
住院,zhùyuàn,to be in hospital; to be hospitalized
装,zhuāng,to install; to pack; to pretend; clothing
准确,zhǔnquè,accurate; exact; precise
字典,zìdiǎn,Chinese character dictionary (containing entries for single characters contrasted with a 词典 which has entries for words of one or more characters); (coll.) dictionary
自己,zìjǐ,oneself; one's own
自行车,zìxíngchē,bicycle; bike
自由,zìyóu,freedom; liberty; free; unrestricted
走过,zǒuguò,to walk past; to pass by
走进,zǒujìn,to enter
走开,zǒukāi,to leave; to walk away; to beat it; to move aside
租,zū,to hire; to rent; to charter; to rent out
组,zǔ,to form; to organize; group; team
组成,zǔchéng,to form; to make up; to constitute
组长,zǔzhǎng,group leader
嘴,zuǐ,mouth; beak; nozzle; spout (of teapot etc)
最近,zuìjìn,recently; soon; nearest
作家,zuòjiā,author
作文,zuòwén,to write an essay; composition (student essay)
作业,zuòyè,school assignment; homework; work; task
作用,zuòyòng,to act on; to affect; action; function
座,zuò,seat; (measure word for mountains/buildings/bridges)
座位,zuòwèi,seat
做到,zuòdào,to accomplish; to achieve
做法,zuòfǎ,way of handling sth; method for making; work method; recipe
做饭,zuòfàn,to prepare a meal; to cook
